9ACAR,Acari
9ACTI,Actinopterygii
9AMPH,Amphibia
9ANNE,Annelida
9ANUR,Anura
9ARAC,Arachnida
9ARTH,Arthropoda
9ASCI,Ascidiacea
9AVES,Aves
9BILA,Bilateria
9BIVA,Bivalvia
9BRAN,Branchiostomidae
9CAEN,Caenogastropoda
9CARA,Carabidae
9CARN,Carnivora
9CEST,Cestoda
9CETA,Artiodactyla
9CHAR,Charadriiformes
9CHEL,Chelicerata
9CHIR,Chiroptera
9CHON,Chondrichthyes
9CHOR,Chordata
9CICH,Cichlidae
9CNID,Cnidaria
9COLE,Coleoptera
9COLU,Columbidae
9CORV,Corvoidea
9CRUS,Crustacea
9CUCU,Cucujiformia
9DEND,Dendrocolaptidae
9DIOP,Diopsoidea
9DIPT,Diptera
9DYTI,Dytiscidae
9ECHI,Echinodermata
9ECHN,Echinozoa
9ECHO,Echinoida
9EMBE,Emberizinae
9EUCA,Eucarida
9EUPU,Eupulmonata
9EUTH,Eutheria
9FALC,Falconiformes
9FRIN,Fringillidae
9FURN,Furnariidae
9GALL,Galliformes
9GAST,Gastropoda
9GOBI,Gobioidei
9GRUI,Gruiformes
9HEMI,Hemiptera
9HEXA,Hexapoda
9HYME,Hymenoptera
9HYST,Hystricomorpha
9ICTE,Icteridae
9INSE,Insecta
9LABR,Labriformes
9LAGO,Lagomorpha
9MAMM,Mammalia
9MAND,Mandibulata
9MAXI,Hexanauplia
9META,Metatheria
9METZ,Metazoa
9MOLL,Mollusca
9MURI,Murinae
9MUSC,Muscomorpha
9MYRI,Myriapoda
9NEOB,Neobatrachia
9NEOP,Neoptera
9ODON,Odonata
9ORTH,Orthoptera
9PARI,Paridae
9PASE,Passeroidea
9PASS,Passeriformes
9PELO,Peloderinae
9PERO,Percoidei
9PETR,Petromyzontidae
9PICI,Piciformes
9PIPI,Pipidae
9PLAT,Platyhelminthes
9PLEU,Pleuronectoidei
9PRIM,Primates
9PSIT,Psittaciformes
9RODE,Rodentia
9SALA,Salamandroidea
9SARC,Sarcopterygii
9SAUR,Sauropsida
9SCAR,Scarabaeiformia
9SCIU,Sciuridae
9SCOM,Scombriformes
9SCOR,Scorpiones
9STRI,Strigiformes
9SYLV,Sylviidae
9TELE,Teleostei
